17.5,18.8125
train,test
tensor(79.7344, device='cuda:0'),tensor(80.6353, device='cuda:0')
tensor(81.7001, device='cuda:0'),tensor(83.6572, device='cuda:0')
tensor(78.2891, device='cuda:0'),tensor(81.2387, device='cuda:0')
tensor(83.8115, device='cuda:0'),tensor(79.7160, device='cuda:0')
tensor(80.8043, device='cuda:0'),tensor(81.2542, device='cuda:0')
tensor(81.8259, device='cuda:0'),tensor(82.4794, device='cuda:0')
tensor(84.5319, device='cuda:0'),tensor(78.2298, device='cuda:0')
tensor(81.0016, device='cuda:0'),tensor(85.2522, device='cuda:0')
tensor(82.4124, device='cuda:0'),tensor(81.7645, device='cuda:0')
tensor(79.7875, device='cuda:0'),tensor(81.0222, device='cuda:0')
tensor(83.3311, device='cuda:0'),tensor(82.3996, device='cuda:0')
tensor(83.7092, device='cuda:0'),tensor(84.9684, device='cuda:0')
tensor(80.6585, device='cuda:0'),tensor(79.3172, device='cuda:0')
tensor(83.4253, device='cuda:0'),tensor(86.3057, device='cuda:0')
tensor(82.9817, device='cuda:0'),tensor(83.2229, device='cuda:0')
tensor(82.5269, device='cuda:0'),tensor(81.5233, device='cuda:0')
tensor(83.9069, device='cuda:0'),tensor(81.1832, device='cuda:0')
tensor(80.9391, device='cuda:0'),tensor(80.3019, device='cuda:0')
tensor(82.5267, device='cuda:0'),tensor(81.9094, device='cuda:0')
tensor(83.2814, device='cuda:0'),tensor(81.0259, device='cuda:0')
tensor(84.6305, device='cuda:0'),tensor(80.9803, device='cuda:0')
tensor(83.6728, device='cuda:0'),tensor(81.8421, device='cuda:0')
tensor(83.9986, device='cuda:0'),tensor(85.8875, device='cuda:0')
tensor(80.5052, device='cuda:0'),tensor(81.7385, device='cuda:0')
tensor(83.3385, device='cuda:0'),tensor(81.4504, device='cuda:0')
tensor(83.1210, device='cuda:0'),tensor(80.3680, device='cuda:0')
tensor(83.9194, device='cuda:0'),tensor(80.7164, device='cuda:0')
tensor(80.3235, device='cuda:0'),tensor(85.0571, device='cuda:0')
tensor(80.7487, device='cuda:0'),tensor(83.9121, device='cuda:0')
tensor(78.2866, device='cuda:0'),tensor(80.5427, device='cuda:0')
tensor(83.7796, device='cuda:0'),tensor(80.6623, device='cuda:0')
tensor(80.7318, device='cuda:0'),tensor(81.4457, device='cuda:0')
tensor(83.8950, device='cuda:0'),tensor(81.7099, device='cuda:0')
tensor(83.2087, device='cuda:0'),tensor(81.7181, device='cuda:0')
tensor(83.2101, device='cuda:0'),tensor(83.4773, device='cuda:0')
tensor(83.1004, device='cuda:0'),tensor(83.6032, device='cuda:0')
tensor(83.3224, device='cuda:0'),tensor(83.0983, device='cuda:0')
tensor(82.6817, device='cuda:0'),tensor(82.5721, device='cuda:0')
tensor(78.6044, device='cuda:0'),tensor(82.2917, device='cuda:0')
tensor(84.9792, device='cuda:0'),tensor(78.7845, device='cuda:0')
tensor(82.1299, device='cuda:0'),tensor(81.8951, device='cuda:0')
tensor(82.8032, device='cuda:0'),tensor(80.3693, device='cuda:0')
tensor(83.1055, device='cuda:0'),tensor(81.5964, device='cuda:0')
tensor(86.3746, device='cuda:0'),tensor(83.5554, device='cuda:0')
tensor(82.8915, device='cuda:0'),tensor(84.2141, device='cuda:0')
tensor(80.1024, device='cuda:0'),tensor(83.8405, device='cuda:0')
tensor(82.6391, device='cuda:0'),tensor(86.6970, device='cuda:0')
tensor(81.0968, device='cuda:0'),tensor(80.7661, device='cuda:0')
tensor(80.6255, device='cuda:0'),tensor(79.1781, device='cuda:0')
tensor(81.1675, device='cuda:0'),tensor(83.8915, device='cuda:0')
tensor(82.6399, device='cuda:0'),tensor(87.4621, device='cuda:0')
tensor(81.7013, device='cuda:0'),tensor(82.6916, device='cuda:0')
tensor(84.8757, device='cuda:0'),tensor(84.6382, device='cuda:0')
tensor(78.8794, device='cuda:0'),tensor(86.4401, device='cuda:0')
tensor(79.3916, device='cuda:0'),tensor(81.4704, device='cuda:0')
tensor(83.4584, device='cuda:0'),tensor(81.4122, device='cuda:0')
tensor(84.0404, device='cuda:0'),tensor(82.2118, device='cuda:0')
tensor(83.5737, device='cuda:0'),tensor(80.0853, device='cuda:0')
tensor(80.1467, device='cuda:0'),tensor(81.0075, device='cuda:0')
tensor(81.3264, device='cuda:0'),tensor(86.3643, device='cuda:0')
tensor(80.1570, device='cuda:0'),tensor(84.8025, device='cuda:0')
tensor(81.1748, device='cuda:0'),tensor(80.6953, device='cuda:0')
tensor(77.2147, device='cuda:0'),tensor(82.0759, device='cuda:0')
tensor(83.6031, device='cuda:0'),tensor(83.4283, device='cuda:0')
tensor(86.6200, device='cuda:0'),tensor(88.3696, device='cuda:0')
tensor(79.1894, device='cuda:0'),tensor(81.9992, device='cuda:0')
tensor(77.5302, device='cuda:0'),tensor(84.7762, device='cuda:0')
tensor(81.2247, device='cuda:0'),tensor(81.7645, device='cuda:0')
tensor(83.8413, device='cuda:0'),tensor(83.3182, device='cuda:0')
tensor(83.4125, device='cuda:0'),tensor(83.8977, device='cuda:0')
tensor(81.2315, device='cuda:0'),tensor(82.8521, device='cuda:0')
tensor(86.3433, device='cuda:0'),tensor(78.3934, device='cuda:0')
tensor(82.5695, device='cuda:0'),tensor(85.0503, device='cuda:0')
tensor(83.7897, device='cuda:0'),tensor(79.4268, device='cuda:0')
tensor(82.7401, device='cuda:0'),tensor(80.6560, device='cuda:0')
tensor(78.7231, device='cuda:0'),tensor(84.0959, device='cuda:0')
tensor(85.3742, device='cuda:0'),tensor(79.6628, device='cuda:0')
tensor(81.8570, device='cuda:0'),tensor(83.1368, device='cuda:0')
tensor(82.2449, device='cuda:0'),tensor(83.3606, device='cuda:0')
tensor(82.7966, device='cuda:0'),tensor(81.7504, device='cuda:0')
tensor(80.9078, device='cuda:0'),tensor(81.4010, device='cuda:0')
tensor(83.9957, device='cuda:0'),tensor(79.5291, device='cuda:0')
tensor(80.6876, device='cuda:0'),tensor(84.2056, device='cuda:0')
tensor(78.3225, device='cuda:0'),tensor(82.4096, device='cuda:0')
tensor(85.3902, device='cuda:0'),tensor(79.9021, device='cuda:0')
tensor(83.4608, device='cuda:0'),tensor(82.7220, device='cuda:0')
tensor(81.2935, device='cuda:0'),tensor(81.5831, device='cuda:0')
tensor(82.1537, device='cuda:0'),tensor(81.1752, device='cuda:0')
tensor(86.6158, device='cuda:0'),tensor(81.5068, device='cuda:0')
tensor(79.6020, device='cuda:0'),tensor(81.7541, device='cuda:0')
tensor(77.9736, device='cuda:0'),tensor(81.7684, device='cuda:0')
tensor(82.7118, device='cuda:0'),tensor(80.3567, device='cuda:0')
tensor(79.1438, device='cuda:0'),tensor(82.6666, device='cuda:0')
tensor(82.3858, device='cuda:0'),tensor(79.8862, device='cuda:0')
tensor(84.3518, device='cuda:0'),tensor(79.0751, device='cuda:0')
tensor(81.9909, device='cuda:0'),tensor(80.4079, device='cuda:0')
tensor(82.7707, device='cuda:0'),tensor(82.6797, device='cuda:0')
tensor(82.3910, device='cuda:0'),tensor(83.4706, device='cuda:0')
tensor(80.6655, device='cuda:0'),tensor(81.8436, device='cuda:0')
tensor(82.7440, device='cuda:0'),tensor(84.9533, device='cuda:0')
tensor(79.4077, device='cuda:0'),tensor(78.8674, device='cuda:0')
tensor(79.6425, device='cuda:0'),tensor(84.4780, device='cuda:0')
tensor(82.7337, device='cuda:0'),tensor(88.6546, device='cuda:0')
tensor(80.2706, device='cuda:0'),tensor(86.1302, device='cuda:0')
tensor(82.7081, device='cuda:0'),tensor(81.2191, device='cuda:0')
tensor(83.5506, device='cuda:0'),tensor(80.7259, device='cuda:0')
tensor(79.0454, device='cuda:0'),tensor(82.3857, device='cuda:0')
tensor(79.5124, device='cuda:0'),tensor(80.2177, device='cuda:0')
tensor(80.3674, device='cuda:0'),tensor(83.3099, device='cuda:0')
tensor(80.9295, device='cuda:0'),tensor(81.6972, device='cuda:0')
tensor(81.9563, device='cuda:0'),tensor(83.6249, device='cuda:0')
tensor(81.0002, device='cuda:0'),tensor(80.4033, device='cuda:0')
