Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,144.889999,147.940002,144.820007,147.630005,143.835403,7207400
2022-05-25,147.110001,147.139999,143.500000,145.210007,141.477600,8217800
2022-05-26,146.479996,147.380005,145.039993,146.479996,142.714951,5702600
2022-05-27,146.970001,148.720001,146.630005,148.720001,144.897385,6028800
2022-05-31,147.289993,148.990005,146.160004,147.880005,144.078979,12416700
2022-06-01,148.000000,148.119995,144.710007,145.639999,141.896545,7036000
2022-06-02,145.970001,147.259995,142.630005,147.210007,143.426208,6479800
2022-06-03,146.360001,147.210007,145.119995,145.889999,142.140121,4720700
2022-06-06,147.369995,147.639999,144.589996,145.320007,141.584793,4751100
2022-06-07,143.669998,147.179993,143.429993,146.940002,143.163132,4918600
2022-06-08,146.300003,146.429993,144.990005,145.110001,141.380188,4369600
2022-06-09,145.410004,146.889999,142.339996,142.490005,138.827530,4625700
2022-06-10,140.889999,143.149994,139.449997,141.949997,138.301392,6630800
2022-06-13,139.500000,140.490005,137.630005,138.149994,134.599060,8549500
2022-06-14,137.509995,137.580002,132.539993,133.839996,130.399841,9980200
2022-06-15,134.440002,134.899994,129.500000,132.509995,129.104034,12178100
2022-06-16,131.029999,135.070007,130.600006,133.320007,129.893219,9683300
2022-06-17,132.559998,134.259995,131.429993,132.360001,128.957916,17113300
2022-06-21,134.619995,137.000000,133.429993,136.369995,132.864822,9017000
2022-06-22,135.679993,139.690002,135.669998,138.500000,134.940079,8374500
2022-06-23,139.050003,142.479996,138.899994,142.300003,138.642395,6418300
2022-06-24,144.199997,145.240005,143.119995,144.350006,140.639725,19440600
2022-06-27,144.119995,144.759995,142.710007,143.250000,139.567993,5618500
2022-06-28,143.539993,144.089996,140.580002,140.919998,137.297852,6077300
2022-06-29,141.600006,142.860001,141.149994,142.199997,138.544968,5174600
2022-06-30,141.690002,144.440002,141.229996,143.789993,140.094116,7410100
2022-07-01,144.240005,146.250000,143.399994,146.110001,142.354462,5937200
2022-07-05,144.580002,146.100006,142.539993,144.699997,140.980728,5760900
2022-07-06,145.509995,147.490005,144.970001,146.050003,142.296021,5485200
2022-07-07,145.289993,146.190002,144.600006,146.000000,142.247314,6623400
2022-07-08,145.990005,146.809998,144.570007,145.020004,141.292496,4294200
2022-07-11,145.149994,146.580002,144.679993,146.039993,142.286255,5482900
2022-07-12,145.860001,146.919998,144.369995,144.750000,141.029419,5204400
2022-07-13,144.410004,146.960007,144.210007,145.699997,141.955002,5075600
2022-07-14,143.759995,145.529999,143.470001,145.270004,141.536072,4867000
2022-07-15,145.339996,145.699997,144.100006,145.070007,141.341202,6264600
2022-07-18,144.940002,145.089996,143.169998,143.309998,139.626450,6047500
2022-07-19,144.570007,145.009995,143.639999,144.039993,140.337662,5943600
2022-07-20,144.000000,144.220001,140.639999,141.550003,137.911682,8635300
2022-07-21,140.600006,141.360001,138.949997,140.770004,138.042114,8310200
2022-07-22,140.759995,143.169998,140.669998,143.020004,140.248505,5292700
2022-07-25,142.800003,144.419998,142.529999,143.990005,141.199707,5262100
2022-07-26,142.690002,144.490005,141.710007,144.270004,141.474289,5375700
2022-07-27,143.880005,146.210007,143.529999,145.639999,142.817719,5500000
2022-07-28,146.139999,148.610001,145.080002,148.059998,145.190826,7115700
2022-07-29,141.429993,142.500000,138.229996,138.910004,136.218155,18694700
2022-08-01,138.339996,143.940002,138.270004,142.899994,140.130814,12590000
2022-08-02,143.110001,143.720001,141.770004,141.949997,139.199219,7495000
2022-08-03,141.660004,145.270004,140.910004,144.880005,142.072464,6811000
2022-08-04,144.850006,146.460007,144.009995,144.649994,141.846909,6124700
2022-08-05,143.750000,144.839996,142.770004,144.720001,141.915558,4580300
2022-08-08,145.029999,146.470001,144.729996,145.270004,142.454910,4486800
2022-08-09,145.570007,145.940002,144.490005,144.929993,142.121490,3977300
2022-08-10,145.889999,146.500000,145.389999,146.300003,143.464951,4641300
2022-08-11,146.809998,147.289993,144.929993,145.259995,142.445084,5954300
2022-08-12,145.910004,146.729996,144.960007,146.669998,143.827774,5038700
2022-08-15,146.869995,148.770004,146.750000,148.559998,145.681137,6008000
2022-08-16,148.360001,150.600006,148.360001,149.929993,147.024582,7093000
